Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,Predicted,Actual
2022-05-19,190.39266967773438,192.6321258544922,195.3094940185547,180.42962646484375,182.9676971435547,190.73109436035156,194.21466064453125,192.73167419433594,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,175.1487579345703,178.62811279296875
2022-05-20,192.6321258544922,195.3094940185547,180.42962646484375,182.9676971435547,190.73109436035156,194.21466064453125,192.73167419433594,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,176.42848205566406,174.02980041503906
2022-05-23,195.3094940185547,180.42962646484375,182.9676971435547,190.73109436035156,194.21466064453125,192.73167419433594,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,174.02980041503906,176.2734832763672,173.8406982421875
2022-05-24,180.42962646484375,182.9676971435547,190.73109436035156,194.21466064453125,192.73167419433594,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,174.02980041503906,173.8406982421875,175.55345153808594,167.172119140625
2022-05-25,182.9676971435547,190.73109436035156,194.21466064453125,192.73167419433594,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,174.02980041503906,173.8406982421875,167.172119140625,173.5030975341797,162.28515625
2022-05-26,190.73109436035156,194.21466064453125,192.73167419433594,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,174.02980041503906,173.8406982421875,167.172119140625,162.28515625,170.45449829101562,160.354248046875
2022-05-27,194.21466064453125,192.73167419433594,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,174.02980041503906,173.8406982421875,167.172119140625,162.28515625,160.354248046875,167.24073791503906,162.49417114257812
2022-05-31,192.73167419433594,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,174.02980041503906,173.8406982421875,167.172119140625,162.28515625,160.354248046875,162.49417114257812,164.90809631347656,167.98826599121094
2022-06-01,187.755126953125,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,174.02980041503906,173.8406982421875,167.172119140625,162.28515625,160.354248046875,162.49417114257812,167.98826599121094,164.3032989501953,161.0211181640625
2022-06-02,197.92718505859375,189.88507080078125,193.33880615234375,194.7322235107422,195.71759033203125,183.1368865966797,174.7464141845703,163.48944091796875,162.96194458007812,168.55560302734375,160.11537170410156,162.971923828125,156.31329345703125,155.1189422607422,158.00531005859375,169.36180114746094,168.6949462890625,159.92626953125,163.1709747314453,160.4936065673828,159.27932739257812,167.4010467529297,168.97364807128906,171.3822784423828,170.07843017578125,162.11595153808594,162.50411987304688,162.72308349609375,157.30860900878906,163.9274139404297,166.44554138183594,174.95542907714844,182.2311553955078,182.31077575683594,168.47596740722656,165.8682403564453,158.4034423828125,168.78453063964844,159.96607971191406,158.35369873046875,159.1797637939453,159.43856811523438,168.00819396972656,169.76986694335938,166.32611083984375,169.4513702392578,167.73944091796875,177.50341796875,176.6573944091797,179.65328979492188,180.0414581298828,178.62811279296875,174.02980041503906,173.8406982421875,167.172119140625,162.28515625,160.354248046875,162.49417114257812,167.98826599121094,161.0211181640625,163.33078002929688,158.42333984375
